time inst | th1                                  | th2                                  | th3                                  | th4                                  | th5                                  | th6                                  | th7                                  | th8                                  | th9                                  | th10                                 
84        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | EXECUTING (F2)                       | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
85        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | EXECUTING (F2)                       | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
86        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | INTERRUPTIBLE (F2)                   | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
87        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
88        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
89        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | EXECUTING (F3,F4)                    
90        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | EXECUTING (F3,F4)                    
91        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | INTERRUPTIBLE (F3,F4)                
92        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
93        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
94        | READY (F5,F6,F7,F8,F9,F0)            | SWRDY (F4)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | EXECUTING (F1,F2,F3)                 | SWRDY (F4)                           
95        | READY (F5,F6,F7,F8,F9,F0)            | SWRDY (F4)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | EXECUTING (F1,F2,F3)                 | SWRDY (F4)                           
96        | READY (F5,F6,F7,F8,F9,F0)            | SWRDY (F4)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | ZOMBIE (F1,F2,F3)                    | SWRDY (F4)                           
97        | READY (F5,F6,F7,F8,F9,F0)            | SWRDY (F4)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | ZOMBIE (F1,F2,F3)                    | SWRDY (F4)                           
98        | READY (F5,F6,F7,F8,F9,F0)            | SWRDY (F4)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             |                                      | SWRDY (F4)                           
99        | SWRDY (F6,F7,F8,F9,F0)               | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F4,F5)                        | EXECUTING (F4,F5)                    | SWRDY ()                             | SWRDY ()                             |                                      | SWRDY ()                             
100       | SWRDY (F6,F7,F8,F9,F0)               | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F4,F5)                        | INTERRUPTIBLE (F4,F5)                | SWRDY ()                             | SWRDY ()                             |                                      | SWRDY ()                             
101       | SWRDY (F6,F7,F8,F9,F0)               | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F4,F5)                        | INTERRUPTIBLE (F4,F5)                | SWRDY ()                             | SWRDY ()                             |                                      | SWRDY ()                             
102       | SWRDY (F6,F7,F8,F9,F0)               | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F4,F5)                        | READY (F4,F5)                        | SWRDY ()                             | SWRDY ()                             |                                      | SWRDY ()                             
103       | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | EXECUTING (F6,F7,F8,F9,F0)           | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | SWRDY ()                             |                                      | SWRDY ()                             
104       | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | EXECUTING (F6,F7,F8,F9,F0)           | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | SWRDY ()                             |                                      | SWRDY ()                             
105       | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | EXECUTING (F6,F7,F8,F9,F0)           | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | SWRDY ()                             |                                      | SWRDY ()                             
106       | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | SWRDY ()                             |                                      | SWRDY ()                             
107       | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | SWRDY ()                             |                                      | SWRDY ()                             
108       | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | SWRDY ()                             |                                      | SWRDY ()                             
109       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | EXECUTING (F1)                       |                                      | SWRDY ()                             
110       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | EXECUTING (F1)                       |                                      | SWRDY ()                             
111       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | EXECUTING (F1)                       |                                      | SWRDY ()                             
112       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | INTERRUPTIBLE (F1)                   |                                      | SWRDY ()                             
113       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | INTERRUPTIBLE (F1)                   |                                      | SWRDY ()                             
114       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | SWRDY ()                             
115       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | EXECUTING (F6,F7,F8,F9,F0)           | READY (F1)                           |                                      | SWRDY ()                             
116       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | INTERRUPTIBLE (F6,F7,F8,F9,F0)       | READY (F1)                           |                                      | SWRDY ()                             
117       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | INTERRUPTIBLE (F6,F7,F8,F9,F0)       | READY (F1)                           |                                      | SWRDY ()                             
118       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | READY (F4,F5)                        | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | SWRDY ()                             
119       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | EXECUTING (F4,F5)                    | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | SWRDY ()                             
120       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | EXECUTING (F4,F5)                    | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | SWRDY ()                             
121       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | ZOMBIE (F4,F5)                       | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | SWRDY ()                             
122       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               | ZOMBIE (F4,F5)                       | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | SWRDY ()                             
123       | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F6,F7,F8,F9,F0)               |                                      | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | SWRDY ()                             
